matchID,map,p_model,mc_mean,mc_se
2368553,Inferno,0.5558053255817033,0.5664,0.4956209923253924
2368552,Vertigo,0.3366374788010685,0.3474,0.47619175939777
2368552,Mirage,0.5886255065151347,0.5966,0.4906287632382181
2368552,Overpass,0.5201779307538257,0.531,0.49908798599400556
2368550,Anubis,0.4996030286847239,0.509,0.4999689928373156
2368550,Inferno,0.6187443981610994,0.6278,0.4834396578483773
2368550,Ancient,0.44833964079664046,0.455,0.49802068724199017
2368425,Overpass,0.5539727601094839,0.5634,0.49601375578625423
2368425,Ancient,0.5002652159833728,0.5092,0.4999653518701212
2368425,Anubis,0.6245951117894962,0.6336,0.48186873679032044
2368449,Ancient,0.4438630971557298,0.4492,0.4974624144302302
2368449,Mirage,0.6135669394306863,0.622,0.4849361118812676
2368333,Inferno,0.6817252513180966,0.6884,0.46319364165533833
2368333,Ancient,0.5752260693029527,0.5854,0.49270213220384546
2368333,Vertigo,0.5160832826158256,0.5266,0.49934187533361585
2368333,Mirage,0.4207803065514085,0.4258,0.49451316327650047
2368551,Nuke,0.4365557387137659,0.4404,0.49648478267504387
2368551,Anubis,0.26794545271632303,0.2738,0.44595216634403
2368424,Vertigo,0.6984968868902095,0.704,0.4565366197108699
2368424,Ancient,0.6883031060284199,0.6952,0.46036870861253587
2368448,Inferno,0.7920335869863239,0.7942,0.404325433050114
2368448,Overpass,0.4617045956736568,0.4674,0.4989860092302002
2368448,Ancient,0.5300879293803444,0.541,0.4983660037911364
2368423,Ancient,0.569477080212967,0.5802,0.493575407953706
2368423,Anubis,0.42565812744847215,0.4298,0.49509694424106415
2368423,Nuke,0.636868647973476,0.6436,0.47898321994094634
2368537,Anubis,0.6259614732924199,0.634,0.48175763417263734
2368537,Ancient,0.5415089842161425,0.5516,0.4973800532625697
2368536,Vertigo,0.5580543965548506,0.569,0.49526564347986257
2368536,Overpass,0.45900920937434947,0.4654,0.49885129098971415
2368485,Nuke,0.7849801036918471,0.7882,0.40862471147859647
2368485,Ancient,0.5105027049975444,0.5208,0.4996171368725169
2368485,Vertigo,0.5357691868179462,0.5468,0.4978547296816344
2368545,Mirage,0.6484543636455267,0.6544,0.4756110608220074
2368547,Anubis,0.5353412757725294,0.5466,0.4978734935735389
2368452,Nuke,0.6333042353398962,0.6412,0.47969634323845256
2368452,Ancient,0.5116990997336094,0.5224,0.49954794527645285
2368452,Mirage,0.6964914603368096,0.702,0.4574252371366428
2368422,Mirage,0.4636860745072434,0.4696,0.4991248993318472
2368422,Overpass,0.2525575543932227,0.2592,0.43823939890675145
2368422,Anubis,0.5349222120015984,0.5466,0.4978734935735389
2368446,Ancient,0.3295317528859375,0.3406,0.47395840251383103
2368446,Overpass,0.5903174198571148,0.5992,0.49010958109416314
2368446,Mirage,0.28621079945175887,0.295,0.45608837227083976
2368513,Ancient,0.3469142731329529,0.359,0.47975518028115266
2368513,Vertigo,0.5379906724783327,0.5494,0.49760341822817744
2368420,Ancient,0.5255916129919901,0.5374,0.4986491453858502
2368420,Anubis,0.39249092746904546,0.3956,0.4890280868149996
2368331,Mirage,0.2504903694841031,0.258,0.4375777586429317
2368331,Nuke,0.6335299593570165,0.6412,0.47969634323845256
2368451,Ancient,0.3374472302653728,0.348,0.47638365660217136
2368451,Vertigo,0.5099087309496677,0.5204,0.4996336325282263
2368447,Vertigo,0.6344430917774727,0.6418,0.47951928819344686
2368447,Inferno,0.6114944068014665,0.6202,0.48538549609147075
